" Datos Básicos  - Paro Registrado"
"Datos de: INDICADOR=PARO REGISTRADO EN MUJERES DE MENOS DE 25 AÑOS EN DICIEMBRE, PARO REGISTRADO EN MUJERES DE 25 AÑOS O MÁS EN DICIEMBRE, PARO REGISTRADO EN VARONES DE MENOS DE 25 AÑOS EN DICIEMBRE, PARO REGISTRADO EN VARONES DE 25 AÑOS O MÁS EN DICIEMBRE"
"FAMILIA INDICADOR",,"LABORAL",,,,
"INDICADOR",,"PARO REGISTRADO EN MUJERES DE MENOS DE 25 AÑOS EN DICIEMBRE","PARO REGISTRADO EN MUJERES DE 25 AÑOS O MÁS EN DICIEMBRE","PARO REGISTRADO EN VARONES DE MENOS DE 25 AÑOS EN DICIEMBRE","PARO REGISTRADO EN VARONES DE 25 AÑOS O MÁS EN DICIEMBRE",
,,VALOR,VALOR,VALOR,VALOR,
FECHA,MUNICIPIO,Sum,Sum,Sum,Sum,
,"05264 VIÑEGRA DE MORAÑA",           .,           1,           .,           .,
,"05265 VITA",           .,           3,           .,           1,
,"05266 ZAPARDIEL DE LA CAÑADA",           3,           1,           1,           1,
,"05267 ZAPARDIEL DE LA RIBERA",           .,           1,           .,           .,
,"05901 SAN JUAN DE GREDOS",           1,           1,           .,           3,
,"05902 SANTA MARIA DEL CUBILLO",           4,           5,           .,           4,
,"05903 DIEGO DEL CARPIO",           .,           .,           .,           3,
,"05904 SANTIAGO DEL TORMES",           .,           1,           1,           1,
,"05905 VILLANUEVA DE AVILA",           .,           .,           .,           7,
,"09003 ADRADA DE HAZA",           2,           1,           1,           1,
,"09006 AGUAS CANDIDAS",           .,           1,           .,           .,
,"09007 AGUILAR DE BUREBA",           .,           .,           .,           1,
,"09009 ALBILLOS",           .,           2,           .,           .,
,"09012 ALFOZ DE SANTA GADEA",           .,           3,           .,           .,
,"09013 ALTABLE",           .,           .,           .,           1,
,"09014 ALTOS (LOS)",           .,           1,           .,           1,
,"09016 AMEYUGO",           .,           1,           .,           .,
,"09017 ANGUIX",           .,           1,           .,           3,
,"09018 ARANDA DE DUERO",         121,         753,          78,         295,
,"09019 ARANDILLA",           .,           .,           .,           2,
,"09020 ARAUZO DE MIEL",           .,           .,           .,           6,
,"09021 ARAUZO DE SALCE",           .,           .,           .,           1,
,"09022 ARAUZO DE TORRE",           .,           .,           .,           2,
,"09023 ARCOS",           .,           2,           .,           1,
,"09024 ARENILLAS DE RIOPISUERGA",           .,           2,           .,           2,
,"09025 ARIJA",           .,           3,           1,           3,
,"09026 ARLANZON",           1,           3,           .,           3,
,"09029 ATAPUERCA",           2,           .,           .,           1,
,"09030 AUSINES (LOS)",           .,           1,           .,           .,
,"09032 AVELLANOSA DE MUÑO",           .,           2,           .,           1,
,"09033 BAHABON DE ESGUEVA",           .,           .,           .,           2,
,"09034 BALBASES (LOS)",           .,           3,           .,           .,
,"09035 BAÑOS DE VALDEARADOS",           .,           4,           .,          11,
,"09036 BAÑUELOS DE BUREBA",           1,           .,           .,           .,
,"09037 BARBADILLO DE HERREROS",           .,           .,           .,           3,
,"09038 BARBADILLO DEL MERCADO",           .,           1,           .,           .,
,"09041 BARRIO DE MUÑO",           .,           .,           .,           1,
,"09043 BARRIOS DE BUREBA (LOS)",           .,           2,           1,           5,
,"09045 BASCONCILLOS DEL TOZO",           1,           4,           .,           2,
,"09046 BASCUÑANA",           1,           1,           .,           .,
,"09047 BELBIMBRE",           .,           1,           .,           1,
,"09048 BELORADO",           3,          22,           2,          14,
,"09051 BERLANGAS DE ROA",           2,           3,           1,           3,
,"09052 BERZOSA DE BUREBA",           .,           2,           .,           .,
,"09056 BRIVIESCA",          18,         137,          13,          59,
,"09058 BUNIEL",           2,           3,           1,           1,
,"09059 BURGOS",         614,        4084,         311,        1826,
,"09060 BUSTO DE BUREBA",           .,           1,           .,           1,
,"09061 CABAÑES DE ESGUEVA",           .,           .,           .,           1,
,"09063 CAVIA",           .,           1,           .,           1,
,"09064 CALERUEGA",           .,           4,           .,           4,
,"09065 CAMPILLO DE ARANDA",           .,           3,           .,           .,
,"09067 CANICOSA DE LA SIERRA",           1,           6,           2,           8,
,"09072 CARCEDO DE BURGOS",           .,           1,           .,           1,
,"09073 CARDEÑADIJO",           2,           9,           2,           7,
,"09074 CARDEÑAJIMENO",           .,           7,           .,          10,
,"09075 CARDEÑUELA RIOPICO",           .,           .,           .,           1,
,"09076 CARRIAS",           .,           .,           .,           2,
