" Datos Básicos  - Alojamientos Hoteleros y de Turismo Rural"
"Datos de: INDICADOR=ALOJAMIENTOS HOTELEROS, ALOJAMIENTOS DE TURISMO RURAL"
"FAMILIA INDICADOR",,"TURISMO",,
"INDICADOR",,"ALOJAMIENTOS HOTELEROS","ALOJAMIENTOS DE TURISMO RURAL",
,,VALOR,VALOR,
FECHA,MUNICIPIO,Sum,Sum,
,"42058 CASTILLEJO DE ROBLEDO",           1,           1,
,"42061 CIDONES",           2,           3,
,"42069 COVALEDA",           2,           .,
,"42078 DURUELO DE LA SIERRA",           2,           1,
,"42094 GARRAY",           4,           .,
,"42095 GOLMAYO",           .,           1,
,"42096 GOMARA",           3,           .,
,"42103 LANGA DE DUERO",           2,           .,
,"42110 MATALEBRERAS",           1,           .,
,"42113 MEDINACELI",          10,           1,
,"42117 MOLINOS DE DUERO",           2,           1,
,"42120 MONTEJO DE TIERMES",           1,           3,
,"42123 MORON DE ALMAZAN",           .,           1,
,"42124 MURIEL DE LA FUENTE",           .,           1,
,"42129 NAVALENO",           2,           .,
,"42132 NOVIERCAS",           1,           .,
,"42134 OLVEGA",           1,           .,
,"42144 QUINTANA REDONDA",           .,           1,
,"42145 QUINTANAS DE GORMAZ",           .,           1,
,"42149 RABANOS (LOS)",           1,           .,
,"42153 RELLO",           .,           1,
,"42155 RETORTILLO DE SORIA",           1,           .,
,"42158 RIOSECO DE SORIA",           .,           1,
,"42160 ROYO (EL)",           2,           .,
,"42161 SALDUERO",           3,           .,
,"42162 SAN ESTEBAN DE GORMAZ",           1,           1,
,"42164 SAN LEONARDO DE YAGÜE",           2,           1,
,"42165 SAN PEDRO MANRIQUE",           3,           6,
