" Datos Básicos  - Alojamientos Hoteleros y de Turismo Rural"
"Datos de: INDICADOR=ALOJAMIENTOS HOTELEROS, ALOJAMIENTOS DE TURISMO RURAL"
"FAMILIA INDICADOR",,"TURISMO",,
"INDICADOR",,"ALOJAMIENTOS HOTELEROS","ALOJAMIENTOS DE TURISMO RURAL",
,,VALOR,VALOR,
FECHA,MUNICIPIO,Sum,Sum,
,"05904 SANTIAGO DEL TORMES",           .,         143,
,"05905 VILLANUEVA DE AVILA",           6,         132,
,"09007 AGUILAR DE BUREBA",           .,           7,
,"09012 ALFOZ DE SANTA GADEA",           .,         112,
,"09014 ALTOS (LOS)",           6,          79,
,"09018 ARANDA DE DUERO",         364,          21,
,"09020 ARAUZO DE MIEL",           .,          19,
,"09023 ARCOS",           5,          13,
,"09025 ARIJA",           .,          28,
,"09026 ARLANZON",          16,          56,
,"09027 ARRAYA DE OCA",           .,          16,
,"09029 ATAPUERCA",           6,         126,
,"09030 AUSINES (LOS)",           .,          17,
,"09033 BAHABON DE ESGUEVA",           .,          19,
,"09034 BALBASES (LOS)",          18,           6,
,"09035 BAÑOS DE VALDEARADOS",           .,          59,
,"09037 BARBADILLO DE HERREROS",           .,          16,
,"09038 BARBADILLO DEL MERCADO",          23,          16,
,"09039 BARBADILLO DEL PEZ",          17,          14,
,"09043 BARRIOS DE BUREBA (LOS)",           .,          18,
,"09044 BARRIOS DE COLINA",           .,          17,
,"09045 BASCONCILLOS DEL TOZO",           .,          42,
,"09047 BELBIMBRE",           .,           6,
,"09048 BELORADO",         138,          20,
,"09054 BOZOO",           .,          25,
,"09055 BRAZACORTA",           .,          18,
,"09056 BRIVIESCA",         171,          19,
,"09057 BUGEDO",           .,          10,
,"09058 BUNIEL",          25,           8,
,"09059 BURGOS",        1844,           .,
,"09062 CABEZON DE LA SIERRA",           .,          10,
,"09063 CAVIA",          25,           8,
,"09064 CALERUEGA",          38,          58,
,"09065 CAMPILLO DE ARANDA",           .,          17,
,"09067 CANICOSA DE LA SIERRA",           .,          41,
,"09072 CARCEDO DE BURGOS",           .,          13,
,"09074 CARDEÑAJIMENO",           .,          18,
,"09075 CARDEÑUELA RIOPICO",           .,          32,
,"09077 CASCAJARES DE BUREBA",           .,          11,
,"09082 CASTILDELGADO",          30,           .,
,"09084 CASTRILLO DE LA REINA",           .,          19,
,"09085 CASTRILLO DE LA VEGA",          50,           .,
,"09086 CASTRILLO DEL VAL",          25,          25,
,"09090 CASTRILLO MOTA DE JUDIOS",           .,           3,
,"09091 CASTROJERIZ",         122,         164,
,"09098 CEREZO DE RIO TIRON",           2,           .,
,"09103 CILLERUELO DE ABAJO",          16,           5,
,"09105 CIRUELOS DE CERVERA",           .,          46,
,"09108 COGOLLOS",          23,          17,
,"09109 CONDADO DE TREVIÑO",           .,          86,
,"09112 CORUÑA DEL CONDE",           .,          16,
,"09113 COVARRUBIAS",          96,         114,
,"09115 CUBO DE BUREBA",          10,           .,
,"09119 CUEVAS DE SAN CLEMENTE",          25,          28,
,"09120 ENCIO",           .,           5,
,"09122 ESPINOSA DE CERVERA",           .,          33,
,"09124 ESPINOSA DE LOS MONTEROS",          50,         227,
,"09125 ESTEPAR",          49,          34,
,"09129 FRESNEDA DE LA SIERRA TIRON",           .,          10,
,"09131 FRESNILLO DE LAS DUEÑAS",           .,          42,
,"09133 FRESNO DE RODILLA",           .,          19,
,"09134 FRIAS",          19,         137,
,"09135 FUENTEBUREBA",          25,           .,
,"09136 FUENTECEN",           .,           6,
,"09137 FUENTELCESPED",           .,           6,
,"09138 FUENTELISENDO",           .,          36,
,"09139 FUENTEMOLINOS",           .,           7,
,"09141 FUENTESPINA",          54,          48,
,"09144 GALLEGA (LA)",           .,          14,
,"09151 GUMIEL DE IZAN",          25,         112,
,"09152 GUMIEL DE MERCADO",           .,          35,
,"09154 HACINAS",           .,          70,
,"09155 HAZA",           .,          17,
,"09159 HONTANAS",          21,          38,
,"09163 HONTORIA DEL PINAR",          25,         127,
,"09164 HONTORIA DE VALDEARADOS",           .,          33,
,"09166 HORMAZAS (LAS)",           .,          10,
,"09167 HORNILLOS DEL CAMINO",           .,          21,
,"09168 HORRA (LA)",          14,          12,
,"09169 HORTIGÜELA",          38,          32,
,"09170 HOYALES DE ROA",           .,          35,
,"09172 HUERMECES",           .,           7,
,"09173 HUERTA DE ARRIBA",          10,          21,
,"09174 HUERTA DE REY",           6,          30,
,"09175 HUMADA",           .,           8,
,"09177 IBEAS DE JUARROS",           .,          66,
,"09181 ISAR",           .,          19,
,"09183 JARAMILLO DE LA FUENTE",           .,          16,
,"09184 JARAMILLO QUEMADO",           .,          16,
,"09189 JUNTA DE TRASLALOMA",           .,           5,
,"09194 LERMA",         219,         204,
,"09197 MADRIGALEJO DEL MONTE",          48,          20,
,"09198 MAHAMUD",           .,           7,
,"09199 MAMBRILLA DE CASTREJON",           .,          86,
,"09200 MAMBRILLAS DE LARA",           .,          15,
,"09208 MECERREYES",          23,           6,
,"09209 MEDINA DE POMAR",         176,          25,
,"09211 MELGAR DE FERNAMENTAL",          65,          46,
,"09213 MERINDAD DE CUESTA-URRIA",          16,          25,
,"09214 MERINDAD DE MONTIJA",          32,         134,
,"09215 MERINDAD DE SOTOSCUEVA",           8,         127,
,"09216 MERINDAD DE VALDEPORRES",           .,         127,
,"09217 MERINDAD DE VALDIVIELSO",           .,          52,
,"09218 MILAGROS",          17,          69,
,"09219 MIRANDA DE EBRO",         306,          16,
,"09221 MODUBAR DE LA EMPAREDADA",           .,          15,
,"09223 MONASTERIO DE LA SIERRA",           .,          13,
,"09224 MONASTERIO DE RODILLA",          80,           .,
,"09227 MONTORIO",          22,          49,
,"09228 MORADILLO DE ROA",          21,           4,
,"09229 NAVA DE ROA",          25,          28,
,"09230 NAVAS DE BUREBA",           .,           2,
,"09231 NEBREDA",           .,          12,
,"09232 NEILA",          24,          31,
,"09238 OÑA",          61,         126,
,"09239 OQUILLAS",           .,          20,
,"09241 ORBANEJA RIOPICO",           .,          23,
,"09242 PADILLA DE ABAJO",           .,          27,
,"09246 PALACIOS DE LA SIERRA",          38,           4,
,"09248 PALAZUELOS DE LA SIERRA",           .,          46,
,"09249 PALAZUELOS DE MUÑO",           .,          21,
,"09250 PAMPLIEGA",           .,          37,
,"09251 PANCORBO",         106,          50,
,"09253 PARDILLA",           .,          11,
,"09255 PARTIDO DE LA SIERRA EN TOBALINA",           .,          14,
,"09256 PEDROSA DE DUERO",          12,          53,
,"09259 PEDROSA DE RIO URBEL",          16,           9,
,"09261 PEÑARANDA DE DUERO",          39,         170,
,"09266 PINEDA DE LA SIERRA",          39,          26,
,"09267 PINEDA TRASMONTE",           .,          16,
,"09268 PINILLA DE LOS BARRUECOS",           7,          54,
,"09270 PINILLA TRASMONTE",           .,          10,
,"09272 POZA DE LA SAL",          38,          15,
,"09273 PRADANOS DE BUREBA",           .,           2,
,"09274 PRADOLUENGO",          25,          61,
,"09276 PUEBLA DE ARGANZON (LA)",          53,           9,
,"09277 PUENTEDURA",           .,          22,
,"09279 QUEMADA",           .,          31,
,"09281 QUINTANA DEL PIDIO",          10,          22,
,"09283 QUINTANAELEZ",           .,          11,
,"09288 QUINTANAPALLA",          13,           8,
,"09289 QUINTANAR DE LA SIERRA",         121,          24,
,"09294 QUINTANILLA DE LA MATA",           .,          10,
,"09297 QUINTANILLAS (LAS)",          18,          31,
,"09298 QUINTANILLA SAN GARCIA",           .,          16,
,"09301 QUINTANILLA VIVAR",          13,          78,
,"09302 RABANERA DEL PINAR",           .,          93,
,"09303 RABANOS",           .,          23,
,"09304 RABE DE LAS CALZADAS",          22,          13,
,"09307 REDECILLA DEL CAMINO",          13,           1,
,"09308 REDECILLA DEL CAMPO",           .,          15,
,"09309 REGUMIEL DE LA SIERRA",           .,          84,
,"09311 RETUERTA",           .,          24,
,"09312 REVILLA Y AHEDO (LA)",           .,          23,
,"09314 REVILLA DEL CAMPO",           .,           6,
,"09315 REVILLARRUZ",           8,          11,
,"09316 REVILLA VALLEJERA",           .,          35,
,"09317 REZMONDO",           .,          14,
,"09318 RIOCAVADO DE LA SIERRA",           .,          23,
,"09321 ROA",          44,          10,
,"09325 ROYUELA DE RIO FRANCO",           .,           8,
,"09326 RUBENA",          49,           1,
,"09327 RUBLACEDO DE ABAJO",           .,           3,
,"09329 SALAS DE BUREBA",          44,           .,
,"09330 SALAS DE LOS INFANTES",         123,          52,
,"09334 SALINILLAS DE BUREBA",           .,          10,
,"09335 SAN ADRIAN DE JUARROS",           .,           2,
,"09337 SAN JUAN DEL MONTE",           .,          10,
,"09340 SAN MILLAN DE LARA",           .,          17,
,"09343 SANTA CECILIA",           .,           8,
,"09345 SANTA CRUZ DE LA SALCEDA",           .,          24,
,"09346 SANTA CRUZ DEL VALLE URBION",           .,          19,
,"09347 SANTA GADEA DEL CID",           1,          41,
,"09348 SANTA INES",           .,          26,
,"09350 SANTA MARIA DEL CAMPO",           3,          43,
,"09353 SANTA MARIA RIVARREDONDA",          22,           .,
,"09358 SANTO DOMINGO DE SILOS",         177,         183,
,"09360 SAN VICENTE DEL VALLE",           .,          23,
,"09361 SARGENTES DE LA LORA",           .,          15,
,"09362 SARRACIN",          18,           .,
,"09363 SASAMON",          68,         151,
,"09366 SOLARANA",           .,          17,
,"09369 SOTILLO DE LA RIBERA",           .,          36,
,"09373 SOTRESGUDO",           .,          62,
,"09377 TARDAJOS",          22,           6,
,"09378 TEJADA",           .,          10,
,"09384 TORDOMAR",           .,          21,
,"09390 TORRESANDINO",           5,          21,
,"09391 TORTOLES DE ESGUEVA",           .,          41,
,"09394 TRESPADERNE",          25,          39,
,"09395 TUBILLA DEL AGUA",          27,          47,
,"09396 TUBILLA DEL LAGO",           .,          36,
,"09398 URBEL DEL CASTILLO",           .,          14,
,"09400 VADOCONDES",          11,          70,
,"09403 VALDEANDE",           .,          19,
,"09407 VALMALA",           .,           4,
,"09409 VALLE DE MANZANEDO",           .,          65,
,"09410 VALLE DE MENA",          85,         117,
,"09411 VALLE DE OCA",           .,          20,
,"09412 VALLE DE TOBALINA",          66,         189,
,"09413 VALLE DE VALDEBEZANA",         112,         114,
,"09414 VALLE DE VALDELAGUNA",           .,         141,
,"09415 VALLE DE VALDELUCIO",          41,          74,
,"09416 VALLE DE ZAMANZAS",           .,          79,
,"09421 VID Y BARRIOS (LA)",          41,          65,
,"09424 VILORIA DE RIOJA",          12,          28,
,"09425 VILVIESTRE DEL PINAR",           .,          33,
,"09427 VILLADIEGO",          58,         192,
,"09430 VILLAESPASA",          10,           .,
,"09431 VILLAFRANCA MONTES DE OCA",          49,          20,
,"09434 VILLAGONZALO PEDERNALES",         104,           .,
,"09437 VILLAHOZ",          23,           .,
,"09438 VILLALBA DE DUERO",           .,           9,
,"09439 VILLALBILLA DE BURGOS",          48,           .,
,"09440 VILLALBILLA DE GUMIEL",           .,          18,
,"09442 VILLALMANZO",          33,          30,
,"09443 VILLAMAYOR DE LOS MONTES",           .,          10,
,"09445 VILLAMBISTIA",           .,           8,
,"09447 VILLAMIEL DE LA SIERRA",           .,          21,
,"09448 VILLANGOMEZ",           .,           8,
,"09449 VILLANUEVA DE ARGAÑO",          50,          14,
,"09450 VILLANUEVA DE CARAZO",           .,          41,
,"09451 VILLANUEVA DE GUMIEL",           .,          25,
,"09454 VILLANUEVA DE TEBA",           .,          15,
,"09456 VILLAQUIRAN DE LOS INFANTES",          33,           .,
,"09460 VILLASANDINO",           .,          15,
,"09463 VILLASUR DE HERREROS",           .,          51,
,"09466 VILLAVERDE DEL MONTE",           .,           3,
,"09483 ZAZUAR",           .,          49,
,"09901 QUINTANILLA DEL AGUA Y TORDUELES",           .,          50,
,"09902 VALLE DE SANTIBAÑEZ",          19,          37,
,"09903 VILLARCAYO DE MERINDAD DE CASTILLA LA VIEJA",         125,         234,
,"09905 VALLE DE SEDANO",           8,         285,
,"09906 MERINDAD DE RIO UBIERNA",         102,          37,
,"09907 ALFOZ DE QUINTANADUEÑAS",          34,          23,
,"09908 VALLE DE LOSA",          33,          70,
,"24001 ACEBEDO",           .,          62,
,"24003 ALIJA DEL INFANTADO",          15,          12,
,"24004 ALMANZA",          25,           .,
,"24005 ANTIGUA (LA)",           .,           3,
,"24006 ARDON",          91,           .,
,"24007 ARGANZA",           .,          90,
,"24008 ASTORGA",         375,         179,
,"24009 BALBOA",          33,          44,
,"24010 BAÑEZA (LA)",         288,           .,
,"24011 BARJAS",           .,          73,
,"24012 BARRIOS DE LUNA (LOS)",          23,          61,
,"24014 BEMBIBRE",          80,         157,
,"24015 BENAVIDES",          25,           1,
,"24016 BENUZA",           .,          22,
,"24017 BERCIANOS DEL PARAMO",          25,           .,
,"24018 BERCIANOS DEL REAL CAMINO",          23,           .,
,"24019 BERLANGA DEL BIERZO",           .,          27,
,"24020 BOCA DE HUERGANO",         105,         152,
,"24021 BOÑAR",         101,         134,
,"24022 BORRENES",           7,         176,
,"24023 BRAZUELO",          74,          75,
,"24024 BURGO RANERO (EL)",          45,          40,
,"24025 BURON",          25,          91,
,"24029 CABRILLANES",          72,         258,
,"24030 CACABELOS",         129,          88,
,"24034 CAMPONARAYA",          59,           .,
,"24036 CANDIN",          10,         187,
,"24037 CARMENES",          52,          16,
,"24038 CARRACEDELO",          53,         112,
,"24039 CARRIZO",          40,          77,
,"24040 CARROCERA",          59,         333,
,"24041 CARUCEDO",          62,         117,
,"24043 CASTRILLO DE CABRERA",           .,          25,
,"24044 CASTRILLO DE LA VALDUERNA",           .,           9,
,"24047 CASTROCONTRIGO",          50,          41,
,"24049 CASTROPODAME",           .,          10,
,"24051 CEA",           .,          34,
,"24053 CEBRONES DEL RIO",           .,           2,
,"24055 CIMANES DEL TEJAR",           9,          93,
,"24056 CISTIERNA",         149,          48,
,"24057 CONGOSTO",          55,          47,
,"24059 CORULLON",           .,          37,
,"24060 CREMENES",          40,         220,
,"24063 CUBILLAS DE RUEDA",          25,           .,
,"24064 CUBILLOS DEL SIL",          39,           9,
,"24065 CHOZAS DE ABAJO",           .,           6,
,"24066 DESTRIANA",           .,          39,
,"24067 ENCINEDO",          57,          39,
,"24068 ERCINA (LA)",           .,          34,
,"24070 FABERO",          53,          51,
,"24071 FOLGOSO DE LA RIBERA",           .,          87,
,"24072 FRESNEDO",           .,           1,
,"24074 FUENTES DE CARBAJAL",           .,           9,
,"24076 GARRAFE DE TORIO",           .,         123,
,"24077 GORDALIZA DEL PINO",           .,           5,
,"24078 GORDONCILLO",           .,          26,
,"24082 HOSPITAL DE ORBIGO",         119,          47,
,"24083 IGÜEÑA",           .,          98,
,"24084 IZAGRE",          11,           .,
,"24088 LAGUNA DE NEGRILLOS",          20,           .,
,"24089 LEON",        1530,           .,
,"24090 LUCILLO",           .,          33,
,"24091 LUYEGO",           .,         165,
,"24092 LLAMAS DE LA RIBERA",           .,          10,
,"24093 MAGAZ DE CEPEDA",           .,          39,
,"24094 MANSILLA DE LAS MULAS",         148,          72,
,"24095 MANSILLA MAYOR",           .,          19,
,"24098 MATALLANA DE TORIO",           .,          74,
,"24100 MOLINASECA",         131,         227,
,"24101 MURIAS DE PAREDES",          25,          99,
,"24102 NOCEDA DEL BIERZO",           .,         164,
,"24103 OENCIA",           3,          38,
,"24105 ONZONILLA",          47,           .,
,"24106 OSEJA DE SAJAMBRE",          53,         176,
,"24107 PAJARES DE LOS OTEROS",          13,           .,
,"24108 PALACIOS DE LA VALDUERNA",           .,          36,
,"24109 PALACIOS DEL SIL",           .,          75,
,"24110 PARAMO DEL SIL",           .,          73,
,"24112 PERANZANES",           .,          19,
,"24114 POLA DE GORDON (LA)",          88,         116,
,"24115 PONFERRADA",         707,         670,
,"24116 POSADA DE VALDEON",         250,         286,
,"24118 PRADO DE LA GUZPEÑA",           .,          63,
,"24119 PRIARANZA DEL BIERZO",           .,          87,
,"24120 PRIORO",           .,          47,
,"24121 PUEBLA DE LILLO",         212,         218,
,"24122 PUENTE DE DOMINGO FLOREZ",          59,          31,
,"24123 QUINTANA DEL CASTILLO",           .,          63,
,"24129 REYERO",           .,          13,
,"24130 RIAÑO",          87,          81,
,"24131 RIEGO DE LA VEGA",          50,           .,
,"24132 RIELLO",          27,         324,
,"24133 RIOSECO DE TAPIA",           .,          20,
,"24134 ROBLA (LA)",          71,          86,
,"24136 ROPERUELOS DEL PARAMO",          33,           .,
,"24137 SABERO",           .,           5,
,"24139 SAHAGUN",         229,          66,
,"24142 SAN ANDRES DEL RABANEDO",         190,           .,
,"24143 SANCEDO",           .,          34,
,"24144 SAN CRISTOBAL DE LA POLANTERA",           .,          25,
,"24145 SAN EMILIANO",          69,         278,
,"24148 SAN JUSTO DE LA VEGA",          50,          23,
,"24149 SAN MILLAN DE LOS CABALLEROS",          25,           .,
,"24151 SANTA COLOMBA DE CURUEÑO",          20,          23,
,"24152 SANTA COLOMBA DE SOMOZA",         110,         193,
,"24153 SANTA CRISTINA DE VALMADRIGAL",          36,           .,
,"24154 SANTA ELENA DE JAMUZ",           2,          34,
,"24155 SANTA MARIA DE LA ISLA",           .,          26,
,"24156 SANTA MARIA DEL MONTE DE CEA",           .,          61,
,"24157 SANTA MARIA DEL PARAMO",          77,           .,
,"24158 SANTA MARIA DE ORDAS",           .,         113,
,"24159 SANTA MARINA DEL REY",          50,          35,
,"24160 SANTAS MARTAS",          25,          17,
,"24161 SANTIAGO MILLAS",           .,          89,
,"24162 SANTOVENIA DE LA VALDONCINA",           .,          23,
,"24163 SARIEGOS",          33,           .,
,"24164 SENA DE LUNA",          69,          50,
,"24165 SOBRADO",           .,          33,
,"24166 SOTO DE LA VEGA",          25,          19,
,"24167 SOTO Y AMIO",          26,          58,
,"24169 TORENO",          25,         102,
,"24170 TORRE DEL BIERZO",          23,          51,
,"24171 TRABADELO",          33,          79,
,"24172 TRUCHAS",          10,          73,
,"24173 TURCIA",           .,           8,
,"24175 VALDEFRESNO",          23,          31,
,"24177 VALDELUGUEROS",           .,          65,
,"24179 VALDEPIELAGO",           .,         129,
,"24180 VALDEPOLO",          33,           .,
,"24181 VALDERAS",          63,           1,
,"24182 VALDERREY",           .,          16,
,"24183 VALDERRUEDA",          50,         128,
,"24184 VALDESAMARIO",           .,          15,
,"24185 VAL DE SAN LORENZO",           .,          53,
,"24187 VALDEVIMBRE",           .,          29,
,"24188 VALENCIA DE DON JUAN",         224,           .,
,"24189 VALVERDE DE LA VIRGEN",         136,          14,
,"24191 VALLECILLO",           .,          48,
,"24193 VECILLA (LA)",          45,           .,
,"24194 VEGACERVERA",          10,         126,
,"24196 VEGA DE ESPINAREDA",          92,         674,
,"24198 VEGA DE VALCARCE",         102,         124,
,"24199 VEGAQUEMADA",          19,          40,
,"24201 VEGAS DEL CONDADO",          24,         111,
,"24202 VILLABLINO",         341,         210,
,"24205 VILLADANGOS DEL PARAMO",         106,           8,
,"24206 TORAL DE LOS VADOS",          50,          51,
,"24209 VILLAFRANCA DEL BIERZO",         239,         142,
,"24210 VILLAGATON",           .,          59,
,"24212 VILLAMAÑAN",          35,           .,
,"24213 VILLAMARTIN DE DON SANCHO",           6,           9,
,"24214 VILLAMEJIL",           .,          24,
,"24215 VILLAMOL",           .,          26,
,"24216 VILLAMONTAN DE LA VALDUERNA",           .,          19,
,"24218 VILLANUEVA DE LAS MANZANAS",           7,          26,
,"24219 VILLAOBISPO DE OTERO",           .,          25,
,"24221 VILLAQUEJIDA",          35,           .,
,"24222 VILLAQUILAMBRE",          60,           .,
,"24223 VILLAREJO DE ORBIGO",          66,          15,
,"24225 VILLASABARIEGO",          68,           .,
,"24226 VILLASELAN",           .,          21,
,"24227 VILLATURIEL",           6,           8,
,"24229 VILLAZANZO DE VALDERADUEY",           .,          28,
,"24901 VILLAMANIN",         103,         141,
,"34001 ABARCA DE CAMPOS",           .,           5,
,"34004 AGUILAR DE CAMPOO",         208,         840,
,"34005 ALAR DEL REY",          82,          96,
,"34009 AMAYUELAS DE ARRIBA",           .,          14,
,"34010 AMPUDIA",          25,         151,
,"34011 AMUSCO",           8,           7,
,"34012 ANTIGÜEDAD",           .,          16,
,"34017 ASTUDILLO",          25,         117,
,"34018 AUTILLA DEL PINO",           .,          26,
,"34019 AUTILLO DE CAMPOS",           .,          46,
,"34022 BALTANAS",          25,          73,
,"34023 VENTA DE BAÑOS",          67,          17,
,"34025 BARCENA DE CAMPOS",           5,          31,
,"34027 BARRUELO DE SANTULLAN",           5,         215,
,"34028 BASCONES DE OJEDA",          23,           .,
,"34029 BECERRIL DE CAMPOS",           .,          72,
,"34032 BERZOSILLA",           .,          25,
,"34034 BOADILLA DEL CAMINO",           .,          24,
,"34036 BRAÑOSERA",          25,         127,
,"34037 BUENAVISTA DE VALDAVIA",          26,          25,
,"34038 BUSTILLO DE LA VEGA",           .,           3,
,"34047 CARRION DE LOS CONDES",         166,          57,
,"34049 CASTREJON DE LA PEÑA",           .,         250,
,"34053 CASTROMOCHO",           .,           9,
,"34055 CERVATOS DE LA CUEZA",          25,           .,
,"34056 CERVERA DE PISUERGA",         175,         407,
,"34057 CEVICO DE LA TORRE",           .,          12,
,"34058 CEVICO NAVERO",           .,          23,
,"34059 CISNEROS",           .,           2,
,"34061 COLLAZOS DE BOEDO",           .,           5,
,"34062 CONGOSTO DE VALDAVIA",           .,          10,
,"34066 CUBILLAS DE CERRATO",           .,          10,
,"34069 DUEÑAS",          86,          41,
,"34071 ESPINOSA DE VILLAGONZALO",           .,           2,
,"34074 FROMISTA",         109,          95,
,"34076 FUENTES DE NAVA",           .,          70,
,"34077 FUENTES DE VALDEPERO",           .,           3,
,"34079 GRIJOTA",           6,           5,
,"34080 GUARDO",         105,           5,
,"34083 HERRERA DE PISUERGA",          50,          40,
,"34084 HERRERA DE VALDECAÑAS",           .,          15,
,"34089 ITERO DE LA VEGA",          18,           .,
,"34094 LEDIGOS",           .,           5,
,"34098 MAGAZ DE PISUERGA",          68,           1,
,"34100 MANTINOS",           1,           .,
,"34101 MARCILLA DE CAMPOS",           .,          29,
,"34104 MELGAR DE YUSO",           .,          24,
,"34108 MONZON DE CAMPOS",          26,          24,
,"34109 MORATINOS",          13,           .,
,"34110 MUDA",           .,          66,
,"34114 OLMOS DE OJEDA",           .,          67,
,"34120 PALENCIA",         420,           .,
,"34121 PALENZUELA",           .,          14,
,"34123 PAREDES DE NAVA",          73,          58,
,"34129 PINO DEL RIO",           .,          42,
,"34130 PIÑA DE CAMPOS",           .,          25,
,"34132 POBLACION DE CAMPOS",           .,          49,
,"34134 POLENTINOS",           .,          32,
,"34135 POMAR DE VALDIVIA",           .,         177,
,"34139 PRADANOS DE OJEDA",           .,          22,
,"34141 QUINTANA DEL PUENTE",          73,          17,
,"34143 QUINTANILLA DE ONSOÑA",           .,          22,
,"34146 REINOSO DE CERRATO",          23,          15,
,"34147 RENEDO DE LA VEGA",           .,          25,
,"34149 REQUENA DE CAMPOS",           .,          11,
,"34151 RESPENDA DE LA PEÑA",           .,          48,
,"34152 REVENGA DE CAMPOS",           .,          44,
,"34155 RIBAS DE CAMPOS",           .,          10,
,"34157 SALDAÑA",         156,         165,
,"34158 SALINAS DE PISUERGA",           .,         100,
,"34159 SAN CEBRIAN DE CAMPOS",           .,           9,
,"34160 SAN CEBRIAN DE MUDA",           .,          75,
,"34161 SAN CRISTOBAL DE BOEDO",           .,          18,
,"34169 SANTERVAS DE LA VEGA",           5,          53,
,"34170 SANTIBAÑEZ DE ECLA",           .,          49,
,"34171 SANTIBAÑEZ DE LA PEÑA",           2,         124,
,"34174 SANTOYO",           .,           5,
,"34175 SERNA (LA)",           .,          36,
,"34176 SOTOBAÑADO Y PRIORATO",           .,          10,
,"34177 SOTO DE CERRATO",           .,          19,
,"34180 TAMARA DE CAMPOS",           .,          49,
,"34181 TARIEGO DE CERRATO",           .,           7,
,"34182 TORQUEMADA",          65,          18,
,"34185 TRIOLLO",          25,         121,
,"34199 VELILLA DEL RIO CARRION",         177,         222,
,"34201 VERTAVILLO",           .,           1,
,"34206 VILLADA",          24,          10,
,"34211 VILLAHERREROS",          16,          46,
,"34215 VILLALCAZAR DE SIRGA",          50,          68,
,"34216 VILLALCON",           .,           5,
,"34217 VILLALOBON",           6,          14,
,"34218 VILLALUENGA DE LA VEGA",           .,          62,
,"34220 VILLAMARTIN DE CAMPOS",           .,          25,
,"34223 VILLAMORONTA",           .,          14,
,"34225 VILLAMURIEL DE CERRATO",          20,           .,
,"34228 VILLANUÑO DE VALDAVIA",           .,          25,
,"34229 VILLAPROVEDO",           .,           3,
,"34230 VILLARMENTERO DE CAMPOS",           .,          16,
,"34232 VILLARRAMIEL",          25,          30,
,"34236 VILLATURDE",           .,           4,
,"34242 VILLODRIGO",          50,          32,
,"34243 VILLOLDO",          50,           .,
,"34245 VILLOTA DEL PARAMO",           .,          24,
,"34901 OSORNO LA MAYOR",         100,           .,
,"34903 LOMA DE UCIEZA",           .,           9,
,"34904 PERNIA (LA)",          64,         152,
,"37002 AGALLAS",           .,          50,
,"37003 AHIGAL DE LOS ACEITEROS",           .,          20,
,"37006 ALAMEDILLA (LA)",           .,           7,
,"37007 ALARAZ",          15,           4,
,"37008 ALBA DE TORMES",         100,           6,
,"37010 ALBERCA (LA)",         254,         307,
,"37011 ALBERGUERIA DE ARGAÑAN (LA)",           .,          25,
,"37014 ALDEADAVILA DE LA RIBERA",          53,         226,
,"37015 ALDEA DEL OBISPO",           9,           9,
,"37016 ALDEALENGUA",           .,          19,
,"37018 ALDEANUEVA DE LA SIERRA",           .,          46,
,"37020 ALDEARRUBIA",           .,          45,
,"37023 ALDEATEJADA",           .,          25,
,"37024 ALDEAVIEJA DE TORMES",           .,           7,
,"37025 ALDEHUELA DE LA BOVEDA",           .,           3,
,"37026 ALDEHUELA DE YELTES",           .,          15,
,"37027 ALMENARA DE TORMES",          25,          48,
,"37029 ANAYA DE ALBA",           .,          11,
,"37030 AÑOVER DE TORMES",           .,          21,
,"37033 ARCEDIANO",           .,          16,
,"37035 ARMENTEROS",           .,          12,
,"37036 SAN MIGUEL DEL ROBLEDO",           .,          98,
,"37037 ATALAYA (LA)",           .,          39,
,"37038 BABILAFUENTE",          48,          20,
,"37039 BAÑOBAREZ",           .,           6,
,"37044 BARRUECOPARDO",          16,          34,
,"37045 BASTIDA (LA)",           .,          16,
,"37046 BEJAR",         282,         223,
,"37047 BELEÑA",           .,          18,
,"37049 BERMELLAR",           .,          66,
,"37054 BODON (EL)",           .,          41,
,"37055 BOGAJO",           .,          13,
,"37056 BOUZA (LA)",           .,          20,
,"37060 BUENAVISTA",           .,          15,
,"37061 CABACO (EL)",         101,          16,
,"37063 CABEZA DE BEJAR (LA)",          25,           .,
,"37065 CABEZA DEL CABALLO",           .,          33,
,"37067 CABRERIZOS",           .,           9,
,"37069 CALVARRASA DE ABAJO",          77,          13,
,"37070 CALVARRASA DE ARRIBA",           .,           4,
,"37071 CALZADA DE BEJAR (LA)",           .,         166,
,"37073 CALZADA DE VALDUNCIEL",          35,          17,
,"37074 CAMPILLO DE AZABA",           .,          30,
,"37078 CANDELARIO",         156,         514,
,"37080 CANTAGALLO",          16,          95,
,"37081 CANTALAPIEDRA",          25,           6,
,"37082 CANTALPINO",           .,           5,
,"37083 CANTARACILLO",           8,           .,
,"37086 CARPIO DE AZABA",           .,          29,
,"37088 CARRASCAL DEL OBISPO",           .,          15,
,"37089 CASAFRANCA",           .,          15,
,"37090 CASAS DEL CONDE (LAS)",           .,          48,
,"37091 CASILLAS DE FLORES",           .,           8,
,"37098 CEPEDA",          25,         301,
,"37100 CEREZAL DE PEÑAHORCADA",           .,           3,
,"37102 CERRO (EL)",           .,          33,
,"37107 CIUDAD RODRIGO",         544,         562,
,"37108 COCA DE ALBA",           .,          29,
