" Datos Básicos  - Hospitales y Camas hospitalarias"
"Datos de: INDICADOR=HOSPITALES, CAMAS HOSPITALARIAS"
"FAMILIA INDICADOR",,"SANIDAD",,
"INDICADOR",,"HOSPITALES","CAMAS HOSPITALARIAS",
,,VALOR,VALOR,
FECHA,MUNICIPIO,Sum,Sum,
,"24202 VILLABLINO",           1,          20,
,"24222 VILLAQUILAMBRE",           1,         113,
,"34120 PALENCIA",           4,         842,
,"37274 SALAMANCA",           2,        1039,
,"40155 PALAZUELOS DE ERESMA",           1,          56,
,"40194 SEGOVIA",           2,         423,
,"42173 SORIA",           1,         325,
,"47085 MEDINA DEL CAMPO",           1,         119,
,"47186 VALLADOLID",           6,        1930,
,"49275 ZAMORA",           2,         644,
,"TOTAL",          36,        9481,
"2017","05019 AVILA",           2,         463,
,"09018 ARANDA DE DUERO",           2,         168,
,"09059 BURGOS",           3,        1117,
,"09219 MIRANDA DE EBRO",           1,         114,
,"24089 LEON",           3,        1261,
,"24115 PONFERRADA",           3,         526,
,"24142 SAN ANDRES DEL RABANEDO",           1,         297,
,"24202 VILLABLINO",           1,          15,
,"24222 VILLAQUILAMBRE",           1,         110,
,"34120 PALENCIA",           4,         842,
,"37274 SALAMANCA",           2,        1013,
,"40155 PALAZUELOS DE ERESMA",           1,          56,
,"40194 SEGOVIA",           2,         423,
,"42173 SORIA",           1,         325,
,"47085 MEDINA DEL CAMPO",           1,         119,
,"47186 VALLADOLID",           6,        1917,
,"49275 ZAMORA",           2,         644,
,"TOTAL",          36,        9410,
"2018","05016 AREVALO",           1,          80,
,"05019 AVILA",           2,         463,
,"09018 ARANDA DE DUERO",           2,         198,
,"09059 BURGOS",           3,        1117,
,"09219 MIRANDA DE EBRO",           1,         114,
,"24089 LEON",           3,        1261,
,"24115 PONFERRADA",           3,         526,
,"24142 SAN ANDRES DEL RABANEDO",           1,         297,
,"24202 VILLABLINO",           1,          15,
,"24222 VILLAQUILAMBRE",           1,         110,
,"34120 PALENCIA",           4,         842,
,"37274 SALAMANCA",           2,        1020,
,"40155 PALAZUELOS DE ERESMA",           1,          56,
,"40194 SEGOVIA",           2,         423,
,"42173 SORIA",           1,         319,
,"47085 MEDINA DEL CAMPO",           1,         119,
,"47186 VALLADOLID",           6,        1870,
,"49275 ZAMORA",           2,         584,
,"TOTAL",          37,        9414,
"2019","05016 AREVALO",           1,          80,
,"05019 AVILA",           2,         463,
,"09018 ARANDA DE DUERO",           2,         198,
,"09059 BURGOS",           3,        1117,
,"09219 MIRANDA DE EBRO",           1,         114,
,"24089 LEON",           3,        1261,
,"24115 PONFERRADA",           3,         525,
,"24142 SAN ANDRES DEL RABANEDO",           1,         297,
,"24202 VILLABLINO",           1,          15,
,"24222 VILLAQUILAMBRE",           1,         110,
,"34120 PALENCIA",           4,         842,
,"37274 SALAMANCA",           2,        1020,
,"40155 PALAZUELOS DE ERESMA",           1,          56,
,"40194 SEGOVIA",           2,         423,
,"42173 SORIA",           1,         319,
,"47085 MEDINA DEL CAMPO",           1,         119,
,"47186 VALLADOLID",           6,        1870,
,"49275 ZAMORA",           2,         584,
,"TOTAL",          37,        9413,
"2020","05016 AREVALO",           1,          80,
,"05019 AVILA",           2,         469,
,"09018 ARANDA DE DUERO",           2,         202,
,"09059 BURGOS",           3,        1117,
,"09219 MIRANDA DE EBRO",           1,         114,
,"24089 LEON",           3,        1241,
,"24115 PONFERRADA",           3,         530,
,"24142 SAN ANDRES DEL RABANEDO",           1,         297,
,"24202 VILLABLINO",           1,          15,
,"34120 PALENCIA",           4,         842,
,"37274 SALAMANCA",           2,        1017,
,"40155 PALAZUELOS DE ERESMA",           1,          56,
,"40194 SEGOVIA",           2,         429,
,"42173 SORIA",           1,         323,
,"47085 MEDINA DEL CAMPO",           1,         119,
,"47186 VALLADOLID",           6,        1881,
,"49275 ZAMORA",           2,         584,
,"TOTAL",          36,        9316,
"2021","05016 AREVALO",           1,          80,
,"05019 AVILA",           2,         473,
,"09018 ARANDA DE DUERO",           2,         172,
,"09059 BURGOS",           3,        1117,
,"09219 MIRANDA DE EBRO",           1,         114,
,"24089 LEON",           3,        1241,
,"24115 PONFERRADA",           3,         531,
,"24142 SAN ANDRES DEL RABANEDO",           1,         297,
,"24202 VILLABLINO",           1,          15,
,"34120 PALENCIA",           4,         820,
,"37274 SALAMANCA",           2,        1105,
,"40155 PALAZUELOS DE ERESMA",           1,          56,
,"40194 SEGOVIA",           2,         417,
,"42173 SORIA",           2,         352,
,"47085 MEDINA DEL CAMPO",           1,         119,
,"47186 VALLADOLID",           6,        1866,
,"49275 ZAMORA",           2,         584,
,"TOTAL",          37,        9359,
"2022","05016 AREVALO",           1,          80,
,"05019 AVILA",           2,         473,
,"09018 ARANDA DE DUERO",           2,         172,
,"09059 BURGOS",           3,        1117,
,"09219 MIRANDA DE EBRO",           1,         114,
,"24089 LEON",           3,        1241,
,"24115 PONFERRADA",           3,         531,
,"24142 SAN ANDRES DEL RABANEDO",           1,         297,
,"24202 VILLABLINO",           1,          15,
,"34120 PALENCIA",           4,         820,
,"37274 SALAMANCA",           2,        1105,
,"40155 PALAZUELOS DE ERESMA",           1,          56,
,"40194 SEGOVIA",           2,         417,
,"42173 SORIA",           2,         352,
,"47085 MEDINA DEL CAMPO",           1,         119,
,"47186 VALLADOLID",           6,        1866,
,"49275 ZAMORA",           2,         584,
,"TOTAL",          37,        9359,
"2023","05016 AREVALO",           1,          80,
,"05019 AVILA",           2,         473,
,"09018 ARANDA DE DUERO",           1,         127,
,"09059 BURGOS",           3,        1117,
,"09219 MIRANDA DE EBRO",           1,         114,
,"24089 LEON",           3,        1230,
,"24115 PONFERRADA",           3,         531,
,"24142 SAN ANDRES DEL RABANEDO",           1,         297,
,"24202 VILLABLINO",           1,          15,
,"34120 PALENCIA",           4,         820,
,"37274 SALAMANCA",           2,        1103,
,"40155 PALAZUELOS DE ERESMA",           1,          56,
,"40194 SEGOVIA",           2,         417,
,"42173 SORIA",           2,         352,
,"47085 MEDINA DEL CAMPO",           1,         119,
,"47186 VALLADOLID",           7,        1968,
,"49275 ZAMORA",           2,         572,
,"TOTAL",          37,        9391,
"2024","05016 AREVALO",           1,          80,
,"05019 AVILA",           2,         473,
,"09018 ARANDA DE DUERO",           1,         127,
,"09059 BURGOS",           3,        1108,
,"09219 MIRANDA DE EBRO",           1,         114,
,"24089 LEON",           3,        1241,
,"24115 PONFERRADA",           3,         531,
,"24142 SAN ANDRES DEL RABANEDO",           1,         297,
,"24202 VILLABLINO",           1,          15,
,"34120 PALENCIA",           4,         820,
,"37274 SALAMANCA",           2,        1103,
,"40194 SEGOVIA",           2,         417,
,"42173 SORIA",           2,         352,
,"47085 MEDINA DEL CAMPO",           1,         119,
,"47186 VALLADOLID",           7,        1938,
,"49275 ZAMORA",           2,         584,
,"TOTAL",          36,        9319,
"TOTAL","05016 AREVALO",          12,        1353,
,"05019 AVILA",          48,       11127,
,"09018 ARANDA DE DUERO",          46,        4143,
,"09059 BURGOS",          91,       28551,
,"09219 MIRANDA DE EBRO",          24,        2778,
,"09238 OÑA",           1,          82,
,"24089 LEON",          98,       31957,
,"24115 PONFERRADA",          72,       12418,
,"24142 SAN ANDRES DEL RABANEDO",          24,        6414,
,"24202 VILLABLINO",          18,         320,
,"24222 VILLAQUILAMBRE",          19,        2127,
,"34120 PALENCIA",          99,       20989,
,"37046 BEJAR",           2,          43,
