" Datos Básicos  - Restaurantes"
"Datos de: INDICADOR=RESTAURANTES"
"FAMILIA INDICADOR",,"TURISMO",
"INDICADOR",,"RESTAURANTES",
,,VALOR,
FECHA,MUNICIPIO,Sum,
,"37298 SANTIBAÑEZ DE LA SIERRA",           2,
,"37300 SANTOS (LOS)",           1,
,"37302 SAUCELLE",           1,
,"37303 SAHUGO (EL)",           1,
,"37313 SOTOSERRANO",           2,
,"37316 TAMAMES",           2,
,"37322 TERRADILLOS",           2,
,"37343 VALLEJERA DE RIOFRIO",           1,
,"37344 VECINOS",           5,
,"37345 VEGA DE TIRADOS",           1,
,"37354 VILLAMAYOR",           5,
,"37360 VILLAR DE PERALONSO",           1,
,"37362 VILLARES DE LA REINA",          15,
,"37364 VILLARINO DE LOS AIRES",           1,
,"37365 VILLARMAYOR",           2,
,"37369 VILLASECO DE LOS GAMITOS",           1,
,"37371 VILLASRUBIAS",           2,
,"37373 VILLAVIEJA DE YELTES",           1,
,"37376 VITIGUDINO",           6,
,"37377 YECLA DE YELTES",           1,
,"37380 ZARAPICOS",           1,
,"40001 ABADES",           1,
,"40002 ADRADA DE PIRON",           1,
,"40004 AGUILAFUENTE",           3,
,"40020 ARCONES",           3,
,"40024 AYLLON",           6,
,"40025 BARBOLLA",           1,
,"40032 BOCEGUILLAS",           4,
,"40033 BRIEVA",           2,
,"40040 CANTALEJO",           5,
,"40041 CANTIMPALOS",           1,
,"40043 CARBONERO EL MAYOR",           3,
,"40044 CARRASCAL DEL RIO",           1,
,"40045 CASLA",           2,
,"40046 CASTILLEJO DE MESLEON",           2,
,"40052 CEDILLO DE LA TORRE",           1,
,"40053 CEREZO DE ABAJO",           2,
,"40054 CEREZO DE ARRIBA",           3,
,"40057 COCA",           4,
,"40058 CODORNIZ",           1,
,"40059 COLLADO HERMOSO",           3,
,"40060 CONDADO DE CASTILNOVO",           1,
,"40063 CUELLAR",           8,
,"40065 CHAÑE",           1,
,"40070 DURUELO",           1,
,"40075 ESCOBAR DE POLENDOS",           1,
,"40076 ESPINAR (EL)",          19,
,"40079 FRESNO DE CANTESPINO",           2,
,"40086 FUENTEPELAYO",           2,
,"40089 FUENTESAUCO DE FUENTIDUEÑA",           1,
,"40092 FUENTIDUEÑA",           1,
,"40095 GOMEZSERRACIN",           1,
,"40097 GRAJERA",           1,
,"40099 HONRUBIA DE LA CUESTA",           1,
,"40107 LABAJOS",           1,
,"40110 LASTRAS DE CUELLAR",           1,
,"40112 LASTRILLA (LA)",           1,
,"40113 LOSA (LA)",           2,
,"40115 MADERUELO",           1,
,"40122 MARUGAN",           3,
,"40123 MATABUENA",           2,
,"40130 MONTEJO DE LA VEGA DE LA SERREZUELA",           1,
,"40134 MOZONCILLO",           1,
,"40136 MUÑOVEROS",           1,
,"40138 NAVA DE LA ASUNCION",           2,
,"40139 NAVAFRIA",           4,
,"40141 NAVALMANZANO",           1,
,"40143 NAVARES DE ENMEDIO",           1,
,"40145 NAVAS DE ORO",           5,
,"40152 OTERO DE HERREROS",           2,
,"40155 PALAZUELOS DE ERESMA",           2,
,"40156 PEDRAZA",          12,
,"40162 PRADENA",           2,
,"40170 RIAZA",          13,
,"40173 RODA DE ERESMA",           1,
,"40174 SACRAMENIA",           2,
,"40179 SANCHONUÑO",           2,
,"40181 REAL SITIO DE SAN ILDEFONSO",          28,
,"40184 SAN PEDRO DE GAILLOS",           1,
,"40185 SANTA MARIA LA REAL DE NIEVA",           2,
,"40188 SANTIUSTE DE PEDRAZA",           2,
,"40191 SANTO TOME DEL PUERTO",           1,
,"40193 SEBULCOR",           1,
,"40194 SEGOVIA",          95,
,"40195 SEPULVEDA",          14,
,"40199 SOTOSALBOS",           3,
,"40200 TABANERA LA LUENGA",           1,
,"40203 TORRECABALLEROS",           9,
,"40204 TORRECILLA DEL PINAR",           1,
,"40206 TORRE VAL DE SAN PEDRO",           1,
,"40207 TRESCASAS",           1,
,"40208 TUREGANO",           7,
,"40210 URUEÑAS",           1,
,"40216 VALVERDE DEL MAJANO",           1,
,"40219 VALLELADO",           1,
,"40225 VILLACASTIN",          10,
,"40901 ORTIGOSA DEL MONTE",           3,
,"40904 NAVAS DE RIOFRIO",           2,
,"42001 ABEJAR",           7,
,"42003 ADRADAS",           1,
,"42004 AGREDA",           3,
,"42019 ALMARZA",           4,
,"42020 ALMAZAN",           9,
,"42022 ALMENAR DE SORIA",           1,
,"42025 ARCOS DE JALON",           7,
,"42029 BARAONA",           2,
,"42032 BAYUBAS DE ABAJO",           1,
,"42035 BERLANGA DE DUERO",           2,
,"42042 BUITRAGO",           1,
,"42043 BURGO DE OSMA-CIUDAD DE OSMA",          14,
,"42045 CABREJAS DEL PINAR",           1,
,"42046 CALATAÑAZOR",           3,
,"42055 CASAREJOS",           1,
,"42058 CASTILLEJO DE ROBLEDO",           1,
,"42061 CIDONES",           3,
,"42064 CIRIA",           1,
,"42069 COVALEDA",           6,
,"42076 DEZA",           1,
,"42078 DURUELO DE LA SIERRA",           4,
,"42094 GARRAY",           3,
,"42095 GOLMAYO",           4,
,"42096 GOMARA",           3,
,"42103 LANGA DE DUERO",           3,
,"42110 MATALEBRERAS",           2,
,"42113 MEDINACELI",          13,
,"42117 MOLINOS DE DUERO",           3,
,"42120 MONTEJO DE TIERMES",           4,
,"42121 MONTENEGRO DE CAMEROS",           1,
,"42129 NAVALENO",           4,
,"42134 OLVEGA",           3,
,"42145 QUINTANAS DE GORMAZ",           2,
,"42149 RABANOS (LOS)",           1,
,"42153 RELLO",           1,
,"42155 RETORTILLO DE SORIA",           2,
,"42158 RIOSECO DE SORIA",           1,
,"42159 ROLLAMIENTA",           1,
,"42160 ROYO (EL)",           2,
,"42161 SALDUERO",           3,
,"42162 SAN ESTEBAN DE GORMAZ",           5,
,"42164 SAN LEONARDO DE YAGÜE",           7,
,"42165 SAN PEDRO MANRIQUE",           5,
,"42167 SANTA MARIA DE HUERTA",           2,
,"42171 SERON DE NAGIMA",           1,
,"42173 SORIA",          59,
,"42174 SOTILLO DEL RINCON",           2,
,"42181 TARDELCUENDE",           2,
,"42189 UCERO",           1,
,"42191 VALDEAVELLANO DE TERA",           2,
,"42205 VILLACIERVOS",           1,
,"42209 VILLAR DEL RIO",           2,
,"42215 VINUESA",          11,
,"42218 YANGUAS",           2,
,"47004 ALAEJOS",           4,
,"47005 ALCAZAREN",           2,
,"47007 ALDEAMAYOR DE SAN MARTIN",           3,
,"47010 ARROYO DE LA ENCOMIENDA",           8,
,"47011 ATAQUINES",           2,
,"47015 BECILLA DE VALDERADUEY",           2,
,"47023 BOECILLO",           8,
,"47027 CABEZON DE PISUERGA",           5,
,"47030 CAMPASPERO",           4,
,"47044 CASTRONUEVO DE ESGUEVA",           1,
,"47045 CASTRONUÑO",           1,
,"47048 CEINOS DE CAMPOS",           2,
,"47050 CIGALES",           4,
,"47052 CISTERNIGA",          10,
,"47057 CUBILLAS DE SANTA MARTA",           2,
,"47058 CUENCA DE CAMPOS",           2,
,"47060 ENCINAS DE ESGUEVA",           1,
,"47066 FUENSALDAÑA",           9,
,"47067 FUENTE EL SOL",           1,
,"47071 GERIA",           1,
,"47074 HORNILLOS DE ERESMA",           1,
