COD_MUNICIPIO,MUNICIPIO,POBLACION_TOTAL,PROP_ENVEJECIMIENTO,EMPRESAS,SERVICIOS_SANIDAD,ESCUELAS,DISTANCIA_CAPITAL,POBLACION_2030_PROY,VAR_2024_2030,VAR_2024_2030_PCT,VAR_2024_2030_PCT_PCT,PROP_ENVEJECIMIENTO_PCT,EMPRESAS_PCT,SERVICIOS_SANIDAD_PCT,ESCUELAS_PCT,DISTANCIA_CAPITAL_PCT,DIM_DEMOGRAFICA,DIM_ECONOMICA,DIM_SERVICIOS,DIM_ACCESIBILIDAD,DIM_DINAMICA_FUTURA,INDICE_VULNERABILIDAD,NIVEL_VULNERABILIDAD,CLUSTER,PCA_1,PCA_2
42116,42116 MIÑO DE SAN ESTEBAN,40,0.375,4.0,1.0,0.0,83.1,58,18,45.0,0.8076923076923077,0.489010989010989,0.4093406593406593,0.6785714285714286,0.554945054945055,0.956043956043956,0.489010989010989,0.4093406593406593,0.6167582417582418,0.956043956043956,0.8076923076923077,0.6557692307692309,Alta,1,-0.7328230300703165,-1.459713060525194
42117,42117 MOLINOS DE DUERO,158,0.2830188679245283,10.0,1.0,0.0,38.4,111,-47,-29.746835443037973,0.0494505494505494,0.1593406593406593,0.2335164835164834,0.6785714285714286,0.554945054945055,0.3406593406593406,0.1593406593406593,0.2335164835164834,0.6167582417582418,0.3406593406593406,0.0494505494505494,0.2799450549450549,Baja,2,1.376044603767261,1.4036238508548742
42118,42118 MOMBLONA,18,0.6666666666666666,0.0,1.0,0.0,56.1,22,4,22.22222222222222,0.6153846153846154,0.9807692307692308,0.717032967032967,0.6785714285714286,0.554945054945055,0.6593406593406593,0.9807692307692308,0.717032967032967,0.6167582417582418,0.6593406593406593,0.6153846153846154,0.7178571428571429,Alta,1,-1.8591641678207016,-0.4305254620301198
42119,42119 MONTEAGUDO DE LAS VICARIAS,177,0.3651685393258427,8.0,2.0,0.0,72.4,112,-65,-36.72316384180791,0.0329670329670329,0.467032967032967,0.2829670329670329,0.3296703296703297,0.554945054945055,0.8901098901098901,0.467032967032967,0.2829670329670329,0.4423076923076923,0.8901098901098901,0.0329670329670329,0.423076923076923,Baja,0,1.0051541820324565,-0.43278011393805976
42120,42120 MONTEJO DE TIERMES,140,0.3426573426573426,15.0,4.0,0.0,95.9,171,31,22.142857142857142,0.6098901098901099,0.3846153846153846,0.1456043956043956,0.1181318681318681,0.554945054945055,0.9945054945054944,0.3846153846153846,0.1456043956043956,0.3365384615384615,0.9945054945054944,0.6098901098901099,0.4942307692307692,Media,0,1.0948651154090372,-2.0031136176414974
42121,42121 MONTENEGRO DE CAMEROS,45,0.4888888888888889,0.0,1.0,0.0,63.4,64,19,42.22222222222222,0.8021978021978022,0.804945054945055,0.717032967032967,0.6785714285714286,0.554945054945055,0.7637362637362637,0.804945054945055,0.717032967032967,0.6167582417582418,0.7637362637362637,0.8021978021978022,0.7409340659340659,Alta,1,-1.83450937347972,-0.8853112936035191
42123,42123 MORON DE ALMAZAN,202,0.3432835820895522,10.0,2.0,0.0,49.2,149,-53,-26.23762376237624,0.0714285714285714,0.3901098901098901,0.2335164835164834,0.3296703296703297,0.554945054945055,0.5274725274725275,0.3901098901098901,0.2335164835164834,0.4423076923076923,0.5274725274725275,0.0714285714285714,0.332967032967033,Baja,2,1.40777187813605,0.3805023499657069
42124,42124 MURIEL DE LA FUENTE,55,0.4444444444444444,0.0,1.0,0.0,36.6,66,11,20.0,0.5879120879120879,0.695054945054945,0.717032967032967,0.6785714285714286,0.554945054945055,0.3076923076923077,0.695054945054945,0.717032967032967,0.6167582417582418,0.3076923076923077,0.5879120879120879,0.5848901098901099,Media,1,-1.1644093942721916,0.6708555289362302
42125,42125 MURIEL VIEJO,75,0.3066666666666666,0.0,1.0,0.0,40.4,68,-7,-9.333333333333334,0.2087912087912088,0.2362637362637362,0.717032967032967,0.6785714285714286,0.554945054945055,0.3626373626373626,0.2362637362637362,0.717032967032967,0.6167582417582418,0.3626373626373626,0.2087912087912088,0.4282967032967033,Baja,2,-0.038261160804574715,1.5246539675717843
42127,42127 NAFRIA DE UCERO,36,0.4166666666666667,0.0,3.0,0.0,69.7,42,6,16.666666666666664,0.5686813186813187,0.6043956043956044,0.717032967032967,0.1895604395604395,0.554945054945055,0.8296703296703297,0.6043956043956044,0.717032967032967,0.3722527472527472,0.8296703296703297,0.5686813186813187,0.6184065934065934,Alta,1,-0.5394679000301134,-1.0126717807241057
