FECHA,COD_MUNICIPIO,MUNICIPIO,POBLACION_MUJERES,POBLACION_HOMBRES,EMIGRACIONES CON DESTINO A LA MISMA PROVINCIA,INMIGRACIONES PROCEDENTES DE LA MISMA PROVINCIA,EMIGRACIONES CON DESTINO A OTRA PROVINCIA DE CASTILLA Y LEÓN,INMIGRACIONES PROCEDENTES DE OTRA PROVINCIA DE CASTILLA Y LEÓN,EMIGRACIONES CON DESTINO A OTRAS COMUNIDADES AUTÓNOMAS,INMIGRACIONES PROCEDENTES DE OTRAS COMUNIDADES AUTÓNOMAS,EMIGRACIONES CON DESTINO A OTROS PAÍSES
2006,42054,42054 CARRASCOSA DE LA SIERRA,5,9,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2006,42055,42055 CASAREJOS,118,126,4.0,1.0,0.0,1.0,8.0,1.0,1.0
2006,42056,42056 CASTILFRIO DE LA SIERRA,8,20,1.0,2.0,0.0,1.0,0.0,3.0,0.0
2006,42057,42057 CASTILRUIZ,128,130,5.0,5.0,2.0,0.0,3.0,1.0,0.0
2006,42058,42058 CASTILLEJO DE ROBLEDO,69,91,1.0,0.0,0.0,0.0,3.0,0.0,0.0
2006,42059,42059 CENTENERA DE ANDALUZ,16,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,42060,42060 CERBON,18,24,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2006,42061,42061 CIDONES,149,197,12.0,16.0,1.0,0.0,3.0,1.0,0.0
2006,42062,42062 CIGUDOSA,20,30,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2006,42063,42063 CIHUELA,39,41,0.0,0.0,0.0,0.0,3.0,2.0,0.0
2006,42064,42064 CIRIA,51,54,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2006,42065,42065 CIRUJALES DEL RIO,16,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,42068,42068 COSCURITA,56,68,3.0,0.0,0.0,0.0,0.0,0.0,0.0
