" Datos Básicos  - Farmacias"
"Datos de: INDICADOR=FARMACIAS"
"FAMILIA INDICADOR",,"SANIDAD",
"INDICADOR",,"FARMACIAS",
,,VALOR,
FECHA,MUNICIPIO,Sum,
,"37092 CASTELLANOS DE MORISCOS",           1,
,"37096 CASTILLEJO DE MARTIN VIEJO",           1,
,"37098 CEPEDA",           1,
,"37102 CERRO (EL)",           1,
,"37103 CESPEDOSA DE TORMES",           1,
,"37106 CIPEREZ",           1,
,"37107 CIUDAD RODRIGO",           6,
,"37113 CUBO DE DON SANCHO (EL)",           1,
,"37117 DOÑINOS DE SALAMANCA",           1,
,"37121 ENCINAS DE ABAJO",           1,
,"37128 ESPINO DE LA ORBADA",           1,
,"37129 FLORIDA DE LIEBANA",           1,
,"37132 FREGENEDA (LA)",           1,
,"37134 FRESNO ALHANDIGA",           1,
,"37135 FUENTE DE SAN ESTEBAN (LA)",           1,
,"37136 FUENTEGUINALDO",           1,
,"37139 FUENTES DE BEJAR",           1,
,"37140 FUENTES DE OÑORO",           1,
,"37143 GALINDUSTE",           1,
,"37144 GALISANCHO",           1,
,"37145 GALLEGOS DE ARGAÑAN",           1,
,"37148 GARCIHERNANDEZ",           1,
,"37152 GOMECELLO",           1,
,"37156 GUIJUELO",           1,
,"37160 HINOJOSA DE DUERO",           1,
,"37161 HORCAJO DE MONTEMAYOR",           1,
,"37162 HORCAJO MEDIANERO",           1,
,"37166 ITUERO DE AZABA",           1,
,"37168 LAGUNILLA",           1,
,"37169 LARRODRIGO",           1,
,"37170 LEDESMA",           1,
,"37171 LEDRADA",           1,
,"37172 LINARES DE RIOFRIO",           1,
,"37173 LUMBRALES",           2,
,"37174 MACOTERA",           2,
,"37175 MACHACON",           1,
,"37177 MAILLO (EL)",           1,
,"37179 MANCERA DE ABAJO",           1,
,"37181 MARTIAGO",           1,
,"37183 MARTIN DE YELTES",           1,
,"37184 MASUECO",           1,
,"37185 CASTELLANOS DE VILLIQUERA",           1,
,"37187 MATILLA DE LOS CAÑOS DEL RIO",           1,
,"37190 MIEZA",           1,
,"37193 MIRANDA DEL CASTAÑAR",           1,
,"37198 MONLERAS",           1,
,"37200 MONTEJO",           1,
,"37201 MONTEMAYOR DEL RIO",           1,
,"37202 MONTERRUBIO DE ARMUÑA",           1,
,"37204 MORASVERDES",           1,
,"37209 MOZARBEZ",           1,
,"37215 NAVA DE SOTROBAL",           1,
,"37216 NAVALES",           1,
,"37221 NAVASFRIAS",           1,
,"37224 ORBADA (LA)",           1,
,"37226 PALACIOS DEL ARZOBISPO",           1,
,"37228 PALACIOSRUBIOS",           1,
,"37232 PARADINAS DE SAN JUAN",           1,
,"37234 PAYO (EL)",           1,
,"37235 PEDRAZA DE ALBA",           1,
,"37240 PELABRAVO",           1,
,"37245 PEÑAPARDA",           1,
,"37246 PEÑARANDA DE BRACAMONTE",           2,
,"37250 PEREÑA DE LA RIBERA",           1,
,"37261 PUENTE DEL CONGOSTO",           1,
,"37263 PUERTO DE BEJAR",           1,
,"37265 RAGAMA",           1,
,"37269 ROBLEDA",           1,
,"37271 ROLLAN",           1,
,"37274 SALAMANCA",          77,
,"37276 SALMORAL",           1,
,"37278 SAN CRISTOBAL DE LA CUESTA",           1,
,"37279 SANCTI-SPIRITUS",           1,
,"37282 SANCHOTELLO",           1,
,"37284 SAN ESTEBAN DE LA SIERRA",           1,
,"37285 SAN FELICES DE LOS GALLEGOS",           1,
,"37287 SAN MIGUEL DE VALERO",           1,
,"37289 SAN MUÑOZ",           1,
,"37291 SAN PEDRO DE ROZADOS",           1,
,"37294 SANTA MARTA DE TORMES",           2,
,"37296 SANTIAGO DE LA PUEBLA",           1,
,"37297 SANTIBAÑEZ DE BEJAR",           1,
,"37300 SANTOS (LOS)",           1,
,"37302 SAUCELLE",           1,
,"37304 SEPULCRO-HILARIO",           1,
,"37305 SEQUEROS",           1,
,"37306 SERRADILLA DEL ARROYO",           1,
,"37311 SOBRADILLO",           1,
,"37312 SORIHUELA",           1,
,"37313 SOTOSERRANO",           1,
,"37316 TAMAMES",           2,
,"37317 TARAZONA DE GUAREÑA",           1,
,"37322 TERRADILLOS",           1,
,"37323 TOPAS",           1,
,"37324 TORDILLOS",           1,
,"37327 TORRESMENUDAS",           1,
,"37328 TRABANCA",           1,
,"37330 VALDECARROS",           1,
,"37335 VALDELOSA",           1,
,"37342 VALVERDON",           1,
,"37344 VECINOS",           1,
,"37345 VEGA DE TIRADOS",           1,
,"37347 VELLES (LA)",           1,
,"37350 VILVESTRE",           1,
,"37351 VILLAFLORES",           1,
,"37352 VILLAGONZALO DE TORMES",           1,
,"37354 VILLAMAYOR",           1,
,"37357 VILLAR DE CIERVO",           1,
,"37360 VILLAR DE PERALONSO",           1,
,"37362 VILLARES DE LA REINA",           1,
,"37364 VILLARINO DE LOS AIRES",           1,
,"37365 VILLARMAYOR",           1,
,"37367 VILLASBUENAS",           1,
,"37370 VILLASECO DE LOS REYES",           1,
,"37371 VILLASRUBIAS",           1,
,"37373 VILLAVIEJA DE YELTES",           1,
,"37374 VILLORIA",           1,
,"37375 VILLORUELA",           1,
,"37376 VITIGUDINO",           2,
,"40001 ABADES",           1,
,"40004 AGUILAFUENTE",           1,
,"40020 ARCONES",           1,
,"40024 AYLLON",           1,
,"40030 BERNARDOS",           1,
,"40032 BOCEGUILLAS",           1,
,"40036 CABEZUELA",           1,
,"40039 CAMPO DE SAN PEDRO",           1,
,"40040 CANTALEJO",           2,
,"40041 CANTIMPALOS",           1,
,"40043 CARBONERO EL MAYOR",           1,
,"40053 CEREZO DE ABAJO",           1,
,"40057 COCA",           1,
,"40058 CODORNIZ",           1,
,"40063 CUELLAR",           4,
,"40065 CHAÑE",           1,
,"40073 ESCALONA DEL PRADO",           1,
