" Datos Básicos  - Consultorios"
"Datos de: INDICADOR=CONSULTORIOS"
"FAMILIA INDICADOR",,"SANIDAD",
"INDICADOR",,"CONSULTORIOS",
,,VALOR,
FECHA,MUNICIPIO,Sum,
,"09480 ZAEL",           1,
,"09482 ZARZOSA DE RIO PISUERGA",           1,
,"09483 ZAZUAR",           1,
,"09485 ZUÑEDA",           1,
,"09901 QUINTANILLA DEL AGUA Y TORDUELES",           2,
,"09902 VALLE DE SANTIBAÑEZ",           7,
,"09903 VILLARCAYO DE MERINDAD DE CASTILLA LA VIEJA",           1,
,"09904 VALLE DE LAS NAVAS",           7,
,"09905 VALLE DE SEDANO",           7,
,"09906 MERINDAD DE RIO UBIERNA",           9,
,"09907 ALFOZ DE QUINTANADUEÑAS",           2,
,"24001 ACEBEDO",           3,
,"24002 ALGADEFE",           1,
,"24003 ALIJA DEL INFANTADO",           3,
,"24004 ALMANZA",           3,
,"24005 ANTIGUA (LA)",           5,
,"24006 ARDON",           6,
,"24007 ARGANZA",           2,
,"24008 ASTORGA",           4,
,"24009 BALBOA",           1,
,"24011 BARJAS",           2,
,"24012 BARRIOS DE LUNA (LOS)",           5,
,"24014 BEMBIBRE",           3,
,"24015 BENAVIDES",           3,
,"24016 BENUZA",           6,
,"24017 BERCIANOS DEL PARAMO",           3,
,"24018 BERCIANOS DEL REAL CAMINO",           1,
,"24019 BERLANGA DEL BIERZO",           1,
,"24020 BOCA DE HUERGANO",           6,
,"24022 BORRENES",           2,
,"24023 BRAZUELO",           6,
,"24024 BURGO RANERO (EL)",           4,
,"24025 BURON",           3,
,"24026 BUSTILLO DEL PARAMO",           7,
,"24027 CABAÑAS RARAS",           1,
,"24028 CABREROS DEL RIO",           2,
,"24029 CABRILLANES",           2,
,"24030 CACABELOS",           2,
,"24031 CALZADA DEL COTO",           1,
,"24032 CAMPAZAS",           1,
,"24033 CAMPO DE VILLAVIDEL",           2,
,"24034 CAMPONARAYA",           3,
,"24036 CANDIN",           1,
,"24037 CARMENES",           1,
,"24038 CARRACEDELO",           5,
,"24039 CARRIZO",           3,
,"24040 CARROCERA",           5,
,"24041 CARUCEDO",           4,
,"24042 CASTILFALE",           1,
,"24043 CASTRILLO DE CABRERA",           4,
,"24044 CASTRILLO DE LA VALDUERNA",           2,
,"24046 CASTROCALBON",           4,
,"24047 CASTROCONTRIGO",           6,
,"24049 CASTROPODAME",           7,
,"24050 CASTROTIERRA DE VALMADRIGAL",           1,
,"24051 CEA",           4,
,"24052 CEBANICO",           1,
,"24053 CEBRONES DEL RIO",           3,
,"24054 CIMANES DE LA VEGA",           2,
,"24055 CIMANES DEL TEJAR",           4,
,"24057 CONGOSTO",           4,
,"24058 CORBILLOS DE LOS OTEROS",           1,
,"24059 CORULLON",           1,
,"24060 CREMENES",           1,
,"24061 CUADROS",           5,
,"24062 CUBILLAS DE LOS OTEROS",           2,
,"24063 CUBILLAS DE RUEDA",           1,
,"24064 CUBILLOS DEL SIL",           2,
,"24065 CHOZAS DE ABAJO",           9,
,"24066 DESTRIANA",           3,
,"24067 ENCINEDO",           6,
,"24068 ERCINA (LA)",           3,
